DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
344_910851,0.9999960660934448,1.0056716203689575,1.0054572820663452,0.9827831387519836,0.8409093022346497,0.548295259475708,0.18641585111618042,0.0664295107126236,0.005529728252440691,0.005548439919948578,-4.373976388388887,1.0005113012170834,7.6719536590759745,-0.018346815388246694
344_717431,0.9999960660934448,1.0081987380981445,0.9598723649978638,0.867660641670227,0.7432166934013367,0.46711301803588867,0.1637718826532364,0.05542967468500137,0.008027227595448494,0.007333800662308931,-3.5161693747885465,0.9787064624319125,5.772945394591538,-0.04607570350963893
344_910925,0.9999960660934448,1.008144497871399,1.0458383560180664,0.9744579792022705,0.8244109749794006,0.5635800957679749,0.19341589510440826,0.18329928815364838,0.00864020362496376,0.006951575167477131,-3.5826453483951086,1.016203186818821,6.319149149191298,-0.017184089913762468
344_908457,0.9999960660934448,1.0025789737701416,0.990036129951477,1.0128861665725708,0.8745352625846863,0.5394856929779053,0.13528087735176086,0.03682086616754532,0.0060307299718260765,0.008177363313734531,-5.5531153926308505,0.9986634030461506,9.606380609977347,-0.0054893852968214965
344_910853,0.9999960660934448,1.012693166732788,1.0370094776153564,1.0115678310394287,0.897026002407074,0.767177402973175,0.5945479273796082,0.1981547474861145,0.006395584437996149,0.006786624435335398,-2.4277002756168957,1.0045766501413291,6.705315518434944,-0.13040675795238024
344_908123,0.9999960660934448,1.0166791677474976,0.9904107451438904,0.9601027965545654,0.7727999091148376,0.4836418628692627,0.15581388771533966,0.06542626023292542,0.011898629367351532,0.008067714050412178,-4.106325597004786,1.000002178563475,6.739750213331377,-0.020754345714276052
344_905962,0.9999960660934448,1.0169270038604736,1.0305078029632568,1.0791703462600708,0.9149941802024841,0.6067047119140625,0.20131196081638336,-0.029430771246552467,0.006426871754229069,0.012491547502577305,-5.329065445978921,1.0263687674522712,9.696175462916395,-0.02299867250001907
344_722045,0.9999960660934448,0.98941570520401,0.9981387853622437,0.9422613382339478,0.7892814874649048,0.4887208342552185,0.1536015123128891,0.038907065987586975,0.007184717338532209,0.0032605587039142847,-4.296654585741752,0.9885529688119631,7.169329746979812,-0.026274254938598775
344_917486,0.9999960660934448,1.0046708583831787,0.9683943390846252,0.9912342429161072,0.761200487613678,0.6313163638114929,0.26692795753479004,0.0534755103290081,0.0073057240806519985,0.006899800151586533,-3.2718727120037783,0.9893794993889823,6.247170833863779,-0.06503899391448993
344_906826,0.9999960660934448,1.0157933235168457,1.0519808530807495,0.9969064593315125,0.8162909150123596,0.6320498585700989,0.37507927417755127,0.11571725457906723,0.013051994144916534,0.009914200752973557,-2.59993463947598,1.0218346754213303,5.379685058403505,-0.0997719651986158
344_909784,0.9999960660934448,1.0206248760223389,0.9953930974006653,0.9918206930160522,0.8623133897781372,0.7446587085723877,0.737268328666687,0.42302143573760986,0.007749357260763645,0.012989622540771961,-1.0699732601366985,0.9862985759419465,5.306508478523386,-0.4057783481620189
344_909260,0.9999960660934448,1.0096365213394165,0.9097805619239807,0.790173351764679,0.5911678075790405,0.4777338206768036,0.1637718826532364,0.06562554091215134,0.008027227595448494,0.007751127239316702,-2.0892189298557917,0.992159913058001,3.4018814528753354,-0.15976530610432146
344_1298141,0.9999960660934448,1.003785252571106,0.9847888946533203,0.9444990158081055,0.7365737557411194,0.5271854996681213,0.45174819231033325,0.027050787582993507,0.004687043372541666,0.008553624153137207,-2.0707253600248823,1.000344174238434,4.32619569684397,-0.17426141325226405
344_910930,0.9999960660934448,1.0136597156524658,0.90074223279953,0.7648767232894897,0.6145846247673035,0.4294542670249939,0.02429075911641121,-0.00343491742387414,0.008203811943531036,0.008947656489908695,-3.0996905378800665,0.9711600760967305,4.530248938334975,-0.0895219578174162
344_907172,0.9999960660934448,1.0217654705047607,1.001454472541809,1.013222336769104,0.86380535364151,0.6403850317001343,0.645888090133667,0.2245223969221115,0.009392566047608852,0.007751127239316702,-1.3848649746291757,1.0102394088282531,4.555510719610655,-0.31030025688622903
344_910706,0.9999960660934448,1.0178611278533936,1.0218987464904785,1.0289884805679321,0.8481930494308472,0.637018084526062,0.32143691182136536,0.07784928381443024,0.01098499447107315,0.007112016435712576,-3.374460260673493,1.0164644335749022,6.634388403086202,-0.053336027503841664
344_905959,0.9999960660934448,1.006913423538208,0.9734950065612793,0.8169927597045898,0.6237002015113831,0.5760068893432617,0.2821232080459595,0.09798912703990936,0.004580857697874308,0.0034956783056259155,-1.493636089176194,1.0039656097605896,3.1394783981268852,-0.27688681986359753
344_907277,0.9999960660934448,0.9998838901519775,0.913188099861145,0.7631632089614868,0.5626842379570007,0.48936665058135986,0.21017763018608093,0.06572715938091278,0.007068751845508814,0.006875844206660986,-1.6503369013789961,0.9984448930595897,2.897526672639927,-0.23506495884596254
