DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,DF,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,param_1,param_2,param_3,param_4,ARID1A_mut,ARID2_mut,BRAF_mut,CDKN2A_mut,EZH2_mut,MECOM_mut,NF1_mut,NRAS_mut,PLCB1_mut,PTEN_mut,TP53_mut,loss.cnaSKCM3,loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.,loss.cnaSKCM5..PAX5.,loss.cnaSKCM9,gain.cnaSKCM12..KRAS.,gain.cnaSKCM21..FOXP1.MITF.,loss.cnaSKCM22,loss.cnaSKCM23,loss.cnaSKCM24..loss.cnaSKCM25,loss.cnaSKCM26,loss.cnaSKCM27..CASP1.,loss.cnaSKCM28,loss.cnaSKCM30
1371,64496_1371_1287706_0,1287706,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.607194714,0.40925632,0.275866371,0.507381859,1.436670465,-12.45473821,0.319663561,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1371,64321_1371_910921_0,910921,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.991298118,0.83776101,0.633553114,0.524002523,0.387105555,0.435936364,1.244977071,-4.079858609,0.308763954,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1371,58158_1371_906793_0,906793,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.978984075,0.612065148,0.377178966,0.18974522,0.099515707,0.368302759,0.874496165,-4.922513847,0.064836606,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,58183_1371_906830_0,906830,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.997012385,0.757089271,0.53188015,0.152639884,0.94739779,0.725150523,-4.805265464,-0.340933424,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
1371,77147_1371_910853_0,910853,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.986094059,0.980815337,1,1,0.779664224,1.022504151,0.885376608,-70.06815958,-0.136080918,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1371,78951_1371_906818_2,906818,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.98557108,0.73498574,0.506803467,0.392995049,0.313139412,0.33238013,1.261944689,-5.846764036,0.306748113,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1371,77875_1371_1240125_0,1240125,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.972269897,1,0.855273555,0.476736959,0.421744131,0.594973318,1.749931886,-15.39192968,0.420950666,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,77331_1371_906813_0,906813,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.97680257,0.966708521,0.926512744,0.732392967,0.122315199,1.462860027,0.228887406,-6.198731604,-3.378702208,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,63123_1371_687448_0,687448,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.888905386,0.902123287,0.796225103,0.558570163,0.561674179,0.529530796,2.626987692,-16.38644912,0.552355835,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1371,63260_1371_753545_0,753545,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.915096439,0.741968385,0.586014265,0.365724599,0.289824543,0.441661551,0.949378807,-3.331784973,0.143894935,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,73168_1371_753546_0,753546,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.89321549,0.914656691,0.836676341,0.692511131,0.55525491,0.813888584,1.371995223,-3.707177881,0.25599471,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1371,77142_1371_906865_0,906865,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.995911956,0.924868315,0.526885147,0.315113844,0.694300419,1.418711226,-12.76925739,0.295511316,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1371,77743_1371_1240130_0,1240130,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.726735215,0.278562228,0.051742409,0.032362221,0.432582661,0.98280181,-8.888638293,0.01887337,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
