CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9
HDQ-P1,1290922,344,344_1290922,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.031800129,1.071021253,1.043572915,0.9795834259999999,0.885888517,0.811988954,0.709893239,0.043554534000000006,0.006031181
HDQ-P1,1290922,136,136_1290922,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.988788598,1.069223504,0.8028867940000001,0.812852085,0.5769780720000001,0.44594475100000003,0.34081255,0.112625739,0.10142963099999999
NMC-G1,908449,170,170_908449,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986038357,0.9260048670000001,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002806999999998
NMC-G1,908449,331,331_908449,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9834662820000001,0.963488947,0.8436909770000001,0.795708015,0.612517667,0.325653858,0.23884075300000002,0.22949170800000002,0.18730496600000002
JHH-2,1240157,170,170_1240157,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.032504689,1.004855047,0.992337092,0.905533328,0.135428353,0.028327089,0.035354569,0.02729557,0.01721052
JHH-2,1240157,165,165_1240157,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9660436309999999,0.986591818,0.8938208609999999,0.801325249,0.90845528,1.003572841,0.028064073,0.018870813,0.008428224
BT-474,946359,157,157_946359,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.954126204,1.1154655759999998,1.088197085,1.064707122,1.051606522,0.695669712,0.24813383600000002,0.107394775,0.100952797
EB-3,906847,173,173_906847,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965232558,1.0265630540000001,1.04340642,0.879923488,0.479102044,0.32359883300000003,0.211843333,0.183921817,0.14697526
A375,906793,201,201_906793,0.032,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.021854723,0.824360045,0.213934102,0.109643756,0.048510249000000005,0.046274864000000006,0.044368369000000005,0.038143516,0.049841854000000005
A375,906793,170,170_906793,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.033548367,0.922632201,0.73468427,0.17542407,0.013274255,0.022263573999999998,0.015360816999999999,0.011197954,0.005947343000000001
A375,906793,308,308_906793,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9870880129999999,0.9921260479999999,0.986602223,0.8793357759999999,0.558519824,0.425561167,0.223424024,0.006358821999999999,0.00514361
OC-314,909257,225,225_909257,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.043257989,1.007252243,0.9686985459999999,0.96307294,0.966718885,0.967975905,0.896481254,0.209521281,0.185290602
OC-314,909257,269,269_909257,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.966554453,1.002028592,0.9879761220000001,1.030967736,0.9933743340000001,0.642977551,0.071645846,0.022449543,0.00407778
OC-314,909257,291,291_909257,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.989769105,0.957361496,0.988681715,0.972724824,0.807182565,0.15584120099999998,0.016839027,0.008751721,0.003399916
ESO26,1503366,219,219_1503366,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.976630295,0.994375256,0.9074261440000001,0.668105207,0.166151653,0.18540871,0.17790095,0.18414343800000002,0.177687675
A427,910851,170,170_910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.954139647,0.57184125,0.045466899000000005,0.06727358900000001,0.053052414000000006,0.052271225,0.038462837,0.025746336,0.02092605
A427,910851,204,204_910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.010858158,0.878425173,0.408529374,0.30773173,0.505938474,0.318422505,0.146680125,0.070403418,0.071764201
